source_feature,mean_abs_shap,mean_signed_shap,max_transformed_abs_shap,num_transformed_features,importance_rank,feature_note
weather_valid_days_90d,0.001722711003148398,-0.001722711003148398,0.001722711003148398,1,69,
repair_event_count_collapsed_180d,0.0013895071729426284,-0.0009074601985109967,0.0013895071729426284,1,70,
iri_max,0.001341883074694992,0.00016520116920405945,0.001341883074694992,1,71,
repair_active_days_30d,0.001209766470195641,-0.0007964081691794505,0.001209766470195641,1,72,
total_precip_fallback_days_365d,0.0010754566781269943,-0.00030751536863564004,0.0010754566781269943,1,73,
min_temp_fallback_days_90d,0.0009968449026665732,0.00037771957055142766,0.0009968449026665732,1,74,
total_precip_fallback_days_90d,0.000982453545231611,-0.000982421201775764,0.000982453545231611,1,75,
boundary_crossing_flag,0.000974205512716172,-0.00024082809203581338,0.000974205512716172,1,76,
min_temp_fallback_days_30d,0.0009303433771643011,0.00024022307462594393,0.0009303433771643011,1,77,
repair_history_valid_days_30d,0.0008804367861606102,0.0008663484969383214,0.0008804367861606102,1,78,
freeze_thaw_min_le_zero_sum_90d,0.0007450248527782123,0.00043544646717172956,0.0007450248527782123,1,79,
freeze_thaw_max_ge_zero_sum_90d,0.0007112633521790558,-0.0003660023420500549,0.0007112633521790558,1,80,
min_temp_fallback_days_180d,0.000669558967875807,3.804668411693534e-05,0.000669558967875807,1,81,
mean_temp_fallback_days_90d,0.0005843049346592738,0.0005649832934067438,0.0005843049346592738,1,82,
iri_min,0.0005001602146878265,-4.731078328521793e-05,0.0005001602146878265,1,83,
max_temp_fallback_days_90d,0.00045840100806825954,-4.8737192794381924e-05,0.00045840100806825954,1,84,
total_precip_fallback_days_30d,0.0004349116461549365,-0.0001470290711014916,0.0004349116461549365,1,85,
repair_history_coverage_ratio_365d,0.0003848902919000175,0.00025122784117352545,0.0003848902919000175,1,86,
weather_valid_days_180d,0.0002667497480161517,0.00018472994579051734,0.0002667497480161517,1,87,
total_precip_fallback_days_180d,0.0001376391324519542,2.716886428575564e-05,0.0001376391324519542,1,88,
repair_history_coverage_ratio_30d,7.382224120501248e-05,7.382224120501248e-05,7.382224120501248e-05,1,89,
